director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	imdbID	title_year
Roland Emmerich	Adam Baldwin	Action Drama History War	Heath Ledger	The Patriot 	Tom Wilkinson	american revolution british french hero standoff	tt0187393	2000
Jan de Bont	Alan Ruck	Action Adventure Crime Thriller	Keanu Reeves	Speed 	Joe Morton	bomb bus elevator explosive rescue	tt0111257	1994
Bill Condon	Peter Capaldi	Biography Drama Thriller	Benedict Cumberbatch	The Fifth Estate 	Jamie Blackley	computer hacker internet news leak whistleblowing wikileaks	tt1837703	2013
Marc Forster	Brad Pitt	Action Adventure Horror Sci-Fi Thriller	Peter Capaldi	World War Z 	Mireille Enos	chaos disease infection pandemic zombie	tt0816711	2013
Gregory Hoblit	Cole Hauser	Drama War	Bruce Willis	Hart's War 	Rory Cochrane	colonel honor lieutenant pilot racism	tt0251114	2002
Jay Duplass	Jennifer Lafleur	Comedy Drama Horror Romance	Greta Gerwig	Baghead 	Elise Muller	actor cabin california paper bag vomiting	tt0923600	2008
Dennis Iliadis	Monica Potter	Crime Horror Thriller	Tony Goldwyn	The Last House on the Left 	Martha MacIsaac	kidnapping lake microwave oven psychopath woods	tt0844708	2009
John Dahl	Jessica Bowman	Mystery Thriller	Paul Walker	Joy Ride 	Dell Yount	embarrassing male nudity embarrassing nudity male nudity truck truck driver	tt0206314	2001
Darren Aronofsky	Mark Margolis	Drama	Ellen Burstyn	Requiem for a Dream 	Louise Lasser	addiction diet pill drug addiction fast motion scene heroin	tt0180093	2000
Chris Columbus	Adam Sandler	Action Animation Comedy Sci-Fi	Peter Dinklage	Pixels 	Josh Gad	alien arcade game chase driving in reverse video gamer	tt2120120	2015
Vic Armstrong	Lea Thompson	Action Drama Fantasy Mystery Thriller	Nicolas Cage	Left Behind 	Quinton Aaron	bible quote chaos faith riot shrine	tt2467046	2014
Craig Gillespie	Reid Ewing	Comedy Horror	Grace Phipps	Fright Night 	Sandra Vergara	neighbor remake suburb teenager vampire	tt1438176	2011
Antoine Fuqua	Chloë Grace Moretz	Action Crime Thriller	Denzel Washington	The Equalizer 	James Wilcox	assassin ex soldier gangster hanged man mysterious past	tt0455944	2014
Peter Billingsley	Kristin Davis	Comedy	Jon Favreau	Couples Retreat 	Tasha Smith	couple island marriage tropical voyeurism	tt1078940	2009
Bob Saget	John Stamos	Animation Comedy	Alyson Hannigan	Farce of the Penguins 	Jim Belushi	flatulence march penguin south pole spoof	tt0488539	2006
Rob Pritts	Vinessa Shaw	Comedy Crime	Vincent Pastore	Corky Romano 	Peter Berg	fbi mafia mobster undercover veterinarian	tt0250310	2001
Walter Salles	Matheus Nachtergaele	Drama	Fernanda Montenegro	Central Station 	Othon Bastos	brazil letter rio de janeiro brazil sertao teacher	tt0140888	1998
Nelson McCormick	Paige Turco	Crime Thriller	Sela Ward	The Stepfather 	Skyler Samuels	head dunked in water military school plastic bag playing a video game suffocating	tt0814335	2009
Vincente Minnelli	Reginald Owen	Adventure Comedy Musical Romance	Gladys Cooper	The Pirate 	Ellen Ross	hoop horseback riding love pirate singer	tt0040694	1948
Chris Noonan	Christine Cavanaugh	Comedy Drama Family	Miriam Margolyes	Babe 	Roscoe Lee Browne	dog farmer pig sheep sheepdog	tt0112431	1995
Julian Gilbey	Alfie Allen	Action Comedy Crime Drama	Mem Ferda	Plastic 	Malese Jow	credit card fraud lesbian kiss miami	tt2556874	2014
Wayne Wang	Russell Wong	Drama History	Bingbing Li	Snow Flower and the Secret Fan 	Ji-hyun Jun	car hitting pedestrian china fan nineteenth century reversal of fortune	tt1541995	2011
John Carney	Markéta Irglová	Drama Music Romance	Glen Hansard	Once 	Darren Healy	immigrant independent film song street vacuum cleaner	tt0907657	2007
Henry Koster	Jean Simmons	Drama History	Richard Burton	The Robe 	Victor Mature	box office hit crucifixion nightmare palestine robe	tt0046247	1953
Mike Mills	Lou Taylor Pucci	Comedy Drama	Kelli Garner	Thumbsucker 	Nancy O'Dell	attention deficit disorder debate drugs psychologist school	tt0318761	2005
Fred Schepisi	Ray Winstone	Drama	Bob Hoskins	Last Orders 	JJ Feild	ashes butcher friend friendship memory	tt0253200	2001
Daniel Espinosa	Fares Fares	Action Crime Drama Thriller	Fabian Bolin	Easy Money 	Matias Varela	double life drugs financial crisis first part serbian	tt1291652	2010
James O'Brien	Vivian Lamolli	Adventure Drama Fantasy Thriller Western	Mark Fantasia	Western Religion 	Greg Jackson	arizona gambling gunfighter poker game year 1879	tt3210710	2015
Martin Scorsese	Mike Starr	Biography Crime Drama	Robert De Niro	Goodfellas 	Paul Sorvino	betrayal gangster mafia organized crime robbery	tt0099685	1990
Joe Nussbaum	Thomas McDonell	Comedy Drama	Cameron Monaghan	Prom 	Aimee Teegarden	decoration father daughter relationship high school prom teenager	tt1604171	2011
Phil Claydon	James Corden	Action Comedy Fantasy Horror	MyAnna Buring	Vampire Killers 	Silvia Colloca	blood breasts female nudity lesbian vampire	tt1020885	2009
Thaddeus O'Sullivan	Luke Newberry	Drama Romance	Olivia Williams	The Heart of Me 	Eleanor Bron	1930s car accident hospital marital rape painter	tt0301390	2002
Michael Moore	Tucker Albrizzi	Documentary Drama	Michael Moore	Sicko 	Bill Clinton	canada cuba france guantanamo hmo	tt0386032	2007
Leonard Nimoy	Ted Danson	Comedy Drama Family	Tom Selleck	3 Men and a Baby 	Steve Guttenberg	1980s baby heroin package questioned by police	tt0094137	1987
John Pasquin	Diedrich Bader	Action Comedy Crime	Eileen Brennan	Miss Congeniality 2: Armed and Fabulous 	Treat Williams	bodyguard fbi fbi agent female protagonist undercover	tt0385307	2005
Mary Harron	Justin Theroux	Crime Drama	Christian Bale	American Psycho 	Samantha Mathis	1980s business card male rear nudity materialism narcissism	tt0144084	2000
John Dahl	Aaron Hughes	Comedy Crime Romance Thriller	Philip Baker Hall	You Kill Me 	Jayne Eastwood	alcoholic buffalo new york claim in title embalming mortuary	tt0796375	2007
Laurent Cantet	Agame Malembo-Emene	Drama	François Bégaudeau	The Class 	Angélica Sancio	high school inner city school student teacher	tt1068646	2008
Eric Leighton	D.B. Sweeney	Adventure Animation Family Thriller	Alfre Woodard	Dinosaur 	Della Reese	egg iguanodon lemur meteor nesting grounds	tt0130623	2000
John Boorman	Richard Burton	Horror	Linda Blair	Exorcist II: The Heretic 	Ned Beatty	demon exorcism locust priest repressed memory	tt0076009	1977
Clint Eastwood	Steve Schirripa	Biography Drama Music Musical	Johnny Cannizzaro	Jersey Boys 	Scott Vance	band music group musical quartet singer song	tt1742044	2014
Dany Boon	Kad Merad	Comedy Romance	Dany Boon	Welcome to the Sticks 	Michel Galabru	alcohol alcoholic drink drunken man france provence	tt1064932	2008
Tarsem Singh	Jake Weber	Horror Sci-Fi Thriller	Dylan Baker	The Cell 	James Gammon	coma fbi race against time serial killer strong female lead	tt0209958	2000
J.S. Cardone	Kerr Smith	Horror Thriller	Brendan Fehr	The Forsaken 	Izabella Miko	flashing breasts hitchhiker vampire vampire hunter virus	tt0245120	2001
Edward Zwick	Bruce Willis	Action Thriller	Denzel Washington	The Siege 	Mark Valley	abduction martial law military new york city terrorist	tt0133952	1998
Tim Johnson	Matt Jones	Adventure Animation Comedy Family Fantasy Sci-Fi	Jim Parsons	Home 	April Winchell	alien friendship alien invasion australia flying car mother daughter relationship	tt2224026	2015
Alex Proyas	Bruce Greenwood	Action Mystery Sci-Fi Thriller	Will Smith	I	 Robot 	Chi McBride	humanoid robot man versus machine prosthetic limb robot as pathos robot vs. robot	tt0343818	2004
Florian Henckel von Donnersmarck	Angelina Jolie Pitt	Action Romance Thriller	Johnny Depp	The Tourist 	Rufus Sewell	police surveillance surveillance van tailing a suspect tourist venice italy	tt1243957	2010
Juan José Campanella	Soledad Villamil	Drama Mystery Thriller	Ricardo Darín	The Secret in Their Eyes 	Guillermo Francella	investigation justice murder suspect tension	tt1305806	2009
Zackary Adler	Kevin Leslie	Crime Drama	Simon Merrells	The Rise of the Krays 	Kris Sommerville		tt2945796	2015
Sean Anders	Leighton Meester	Comedy	Adam Sandler	That's My Boy 	Will Forte	argument reference to vanilla ice statutory rape teacher student relationship teacher student sex	tt1232200	2012
Jon Favreau	Faizon Love	Comedy Crime Drama Thriller	Jon Favreau	Made 	Jonathan Silverman	friendship loudmouth money laundering new york city stripper	tt0227005	2001
David Slade	Kristen Stewart	Adventure Drama Fantasy Romance	Robert Pattinson	The Twilight Saga: Eclipse 	Anna Kendrick	friendship graduation revenge vampire werewolf	tt1325004	2010
Mike Mitchell	Eddie Griffin	Comedy Romance	Amy Poehler	Deuce Bigalow: Male Gigolo 	Bree Turner	aquarium fish fish tank gigolo norwegian	tt0205000	1999
Stephen Hopkins	Robert Davi	Action Horror Sci-Fi	Adam Baldwin	Predator 2 	Kevin Peter Hall	alien drug lord gang hunter predator	tt0100403	1990
Daniel Hsia	Daniel Henney	Comedy Drama Romance	Alan Ruck	Shanghai Calling 	Eliza Coupe		tt2070597	2012
Rob Cohen	Vin Diesel	Action Crime Thriller	Paul Walker	The Fast and the Furious 	Jordana Brewster	eighteen wheeler illegal street racing truck trucker undercover cop	tt0232500	2001
Simon Wincer	Tom Selleck	Action Adventure Drama Romance Western	Alan Rickman	Quigley Down Under 	Ben Mendelsohn	aborigine australian australian aborigine australian outback rancher	tt0102744	1990
	Indiana Evans	Crime Drama	Dan Fogler	Secrets and Lies             	KaDee Strickland		tt3516878	
Steven Brill	Scott Adsit	Adventure Comedy Mystery	Antony Starr	Without a Paddle 	Bonnie Somerville	death friend hijacker river tree house	tt0364751	2004
Mike Cahill	William Mapother	Drama Romance Sci-Fi	Robin Lord Taylor	Another Earth 	Flint Beverage	duplicate earth janitor planet solar system synchronicity	tt1549572	2011
Michael Corrente	George Wendt	Comedy Drama Romance	Jonathan Brandis	Outside Providence 	Shawn Hatosy	class cornwall connecticut dog friend pawtucket rhode island	tt0125971	1999
Jee-woon Kim	Woo-sung Jung	Action Adventure Comedy Western	Kang-ho Song	The Good	 the Bad	 the Weird 	Dal-su Oh	bounty hunter manchuria map train treasure	tt0901487	2008
Tim Story	Romany Malco	Comedy Romance	Chris Brown	Think Like a Man 	Regina Hall	advice black romance hip hop reading a book sex scene	tt1621045	2012
Richard Lester	Ringo Starr	Comedy Musical	Paul McCartney	A Hard Day's Night 	George Harrison	boy concert drummer manager television	tt0058182	1964
Burr Steers	Rory Culkin	Comedy Drama	Kieran Culkin	Igby Goes Down 	Bill Irwin	boy mistress money schizophrenic school	tt0280760	2002
Richard Fleischer	Robert J. Wilke	Adventure Drama Family Fantasy Sci-Fi	James Mason	20	000 Leagues Under the Sea 	Paul Lukas	captain expedition sea submarine whale	tt0046672	1954
Joseph Gordon-Levitt	Scarlett Johansson	Comedy Drama Romance	Joseph Gordon-Levitt	Don Jon 	Tony Danza	camera focus on female butt cunnilingus new jersey oral sex reference to facebook	tt2229499	2013
Klaus Menzel	Jacqueline Bisset	Mystery Romance Thriller	Adam Garcia	Fascination 	Alice Evans	death love marriage secret suspicion	tt0305632	2004
Tobe Hooper	Bud Cort	Horror Sci-Fi	Louise Fletcher	Invaders from Mars 	William Bassett	alien boy nurse school school nurse	tt0091276	1986
Takashi Yamazaki	Meisa Kuroki	Action Adventure Drama Sci-Fi	Takuya Kimura	Space Battleship Yamato 	Hiroyuki Ikeuchi	alien battleship message radiation yamato	tt1477109	2010
Victor Salva	Jonathan Breck	Horror	Nicki Aycox	Jeepers Creepers II 	Billy Aaron Brown	cheerleader farmer fear high school basketball nightmare	tt0301470	2003
Steven Spielberg	John Belushi	Action Comedy War	Christopher Lee	1941 	Treat Williams	california captain cult film pearl harbor submarine	tt0078723	1979
Ridley Scott	Connie Nielsen	Action Drama Romance	Djimon Hounsou	Gladiator 	Oliver Reed	battlefield blood combat gladiator roman empire	tt0172495	2000
Georg Wilhelm Pabst	Francis Lederer	Crime Drama Romance	Louise Brooks	Pandora's Box 	Fritz Kortner	escape femme fatale german expressionism lust violence	tt0018737	1929
Rob Reiner	Tim Matheson	Comedy Drama Romance	Bruce Willis	The Story of Us 	Rita Wilson	four word title husband wife relationship male rear nudity marriage summer camp	tt0160916	1999
Henry Jaglom	Stephen Dillane	Drama Romance	Vanessa Redgrave	Déjà Vu 	Michael Brandon	american love pin ruby stranger	tt0119033	1997
Eli Roth	Takashi Miike	Horror	Jay Hernandez	Hostel 	Rick Hoffman	bratislava hostel sadistic horror torture travel	tt0450278	2005
John McTiernan	Jeffrey Jones	Action Adventure Thriller	Scott Glenn	The Hunt for Red October 	Courtney B. Vance	analyst defection navy soviet submarine submarine	tt0099810	1990
Ekachai Uekrongtham	Mike Dopud	Action Crime Thriller	Michael Jai White	Skin Trade 	Celina Jade	bangkok thailand detective human trafficking revenge sex slavery	tt1641841	2014
Guy Ritchie	Brad Pitt	Comedy Crime	Jason Statham	Snatch 	Jason Flemyng	boxer boxing diamond fight gypsy	tt0208092	2000
Gus Van Sant	Wayne Knight	Comedy Crime Drama	Kurtwood Smith	To Die For 	Holland Taylor	career fame murder new hampshire television	tt0114681	1995
J.J. Abrams	Bruce Greenwood	Action Adventure Sci-Fi	Benedict Cumberbatch	Star Trek Into Darkness 	Noel Clarke	admiral captain manhunt mission space	tt1408101	2013
George Lucas	Christopher Lee	Action Adventure Fantasy Sci-Fi	Natalie Portman	Star Wars: Episode III - Revenge of the Sith 	Hayden Christensen	elongated cry of no friends become enemies kicked in the butt robotic midwife vision	tt0121766	2005
David Lowery	Oona Laurence	Adventure Family Fantasy	Bryce Dallas Howard	Pete's Dragon 	Isiah Whitlock Jr.		tt2788732	2016
Richard Linklater	Adam Goldberg	Comedy	Milla Jovovich	Dazed and Confused 	Cole Hauser	football hazing high school last day of school pledge	tt0106677	1993
Charles T. Kanganis	Dustin Nguyen	Action Comedy Family	Victor Wong	3 Ninjas Kick Back 	Don Stark	1990s dagger japan mousetrap stick fight	tt0109015	1994
Robert Lorenz	Ed Lauter	Drama Sport	Clint Eastwood	Trouble with the Curve 	Bob Gunton	aging baseball baseball scout north carolina pitcher	tt2083383	2012
Angelina Jolie Pitt	Jack O'Connell	Biography Drama Sport War	Finn Wittrock	Unbroken 	Alex Russell	emaciation male nudity plane crash prisoner of war torture	tt1809398	2014
Tommy Lee Wallace	Dan O'Herlihy	Horror Mystery Sci-Fi	Tom Atkins	Halloween III: Season of the Witch 	Nancy Kyes	doctor factory halloween holiday horror stonehenge	tt0085636	1982
Bryan Singer	Michael Fassbender	Action Adventure Sci-Fi	Jennifer Lawrence	X-Men: Apocalypse 	Tye Sheridan	mutant superhero superhero team x men year 1983	tt3385516	2016
Brenton Spencer	Victor Zinck Jr.	Action Horror Mystery Thriller	Christie Burke	Crowsnest 	Chelsey Reist	forest found footage lost murder road trip	tt2180333	2012
Gerry Lively	Lucy Gaskell	Action Adventure Fantasy	Bruce Payne	Dungeons & Dragons: Wrath of the Dragon God 	Steven Elder	combat helmet martial arts medieval times violence	tt0406728	2005
Fede Alvarez	Elizabeth Blackmore	Horror	Lou Taylor Pucci	Evil Dead 	Ellen Sandweiss	book of the dead demon h.p. lovecraft lesbian kiss promise	tt1288558	2013
Bryan Singer	Tyler Mane	Action Adventure Sci-Fi	Hugh Jackman	X-Men 	Bruce Davison	first part mutant professor superhero superhero team	tt0120903	2000
Roland Emmerich	Caleb Landry Jones	Drama	Jeremy Irvine	Stonewall 	Matt Craven	box office flop critically bashed gay rights new york city stonewall riots	tt3018070	2015
Peyton Reed	Lindsay Sloane	Comedy Sport	Kirsten Dunst	Bring It On 	Clare Kramer	championship cheerleading high school teen comedy teenage romance	tt0204946	2000
Wayne Kramer	Paul Sorvino	Crime Drama Fantasy Romance	Estella Warren	The Cooler 	Shawn Hatosy	female pubic hair girl in panties leg spreading public nudity sex in bed	tt0318374	2003
Rob Minkoff	Brad Garrett	Adventure Animation Comedy Family Fantasy	Nathan Lane	Stuart Little 2 	Melanie Griffith	anthropomorphic mouse falcon marshmallow second part soccer	tt0243585	2002
Alejandro Monteverde	Ramon Rodriguez	Drama Romance	Armando Riesco	Bella 	Eduardo Verástegui	inter cultural latino restaurant soccer train	tt0482463	2006
Amat Escalante	Andrea Vergara	Crime Drama Romance	Kenny Johnston	Heli 	Gabriel Reyes	corrupt police drug cartel drugs mexico police	tt2852376	2013
Joel Coen	Bill Cobbs	Comedy Fantasy	Jennifer Jason Leigh	The Hudsucker Proxy 	John Mahoney	art deco board of directors industry mail stock	tt0110074	1994
Spike Lee	Harry Lennix	Drama History	Bernie Mac	Get on the Bus 	Andre Braugher	actor bus march million man march religion	tt0116404	1996
Kenneth Lonergan	Kieran Culkin	Drama	Matt Damon	Margaret 	John Gallagher Jr.	accident bus loss of virginity new york city virginity	tt0466893	2011
Joe Dante	Robert Picardo	Horror	Patrick Macnee	The Howling 	Dee Wallace	1980s forest lycanthrope shapeshifting werewolf transformation	tt0082533	1981
Rob Minkoff	Zach Callison	Adventure Animation Comedy Family Sci-Fi	Ty Burrell	Mr. Peabody & Sherman 	Karan Brar	dog father son relationship inventor talking dog time travel	tt0864835	2014
Sam Mendes	Peter Gallagher	Drama	Kevin Spacey	American Beauty 	Ara Celi	domestic violence drug dealer homosexuality midlife crisis unfaithfulness	tt0169547	1999
Richard Brooks	Jean Simmons	Drama	Shirley Jones	Elmer Gantry 	Edward Andrews	1920s evangelist preacher revival traveling salesman	tt0053793	1960
Gonzalo López-Gallego	Ryan Robbins	Horror Mystery Sci-Fi Thriller	Warren Christie	Apollo 18 	Andrew Airlie	cosmonaut footprint found footage moon secret mission	tt1772240	2011
Steven Spielberg	Rae Dawn Chong	Drama	Oprah Winfrey	The Color Purple 	Dana Ivey	book strap girl racial discrimination racial tension stereotype	tt0088939	1985
Woo-Suk Kang	Sung-kee Ahn	Action Drama	Yu-mi Jeong	Silmido 	Kyung-gu Sol	based on book based on true story rape title spoken by character	tt0387596	2003
Jeff Wadlow	Donald Faison	Action Comedy Crime	Chloë Grace Moretz	Kick-Ass 2 	Augustus Prew	hit in the crotch kicked in the crotch punched in the crotch sparring superhero	tt1650554	2013
Joe Dante	Robert Picardo	Comedy Fantasy Horror	Christopher Lee	Gremlins 2: The New Batch 	Phoebe Cates	gremlin horror host hulk hogan monster skyscraper	tt0099700	1990
Peter Kassovitz	Mark Margolis	Drama War	Robin Williams	Jakob the Liar 	Michael Jeter	german ghetto hope nazi radio	tt0120716	1999
Zack Snyder	Lauren Cohan	Action Adventure Sci-Fi	Henry Cavill	Batman v Superman: Dawn of Justice 	Alan D. Purwin	based on comic book batman sequel to a reboot superhero superman	tt2975590	2016
Sam Weisman	Larry Miller	Comedy Crime	Bernie Mac	What's the Worst That Could Happen? 	Richard Schiff	businessman ring thief vulgarity washington d.c.	tt0161083	2001
Karan Johar	Jimmy Shergill	Adventure Drama Thriller	Shah Rukh Khan	My Name Is Khan 	Christopher B. Duncan	airport asperger's syndrome autism muslim racial profiling	tt1188996	2010
Frank Capra	Ann Miller	Comedy Drama Romance	Jean Arthur	You Can't Take It with You 	Lionel Barrymore	eccentric friend house monopoly stenographer	tt0030993	1938
Neil Jordan	Miranda Richardson	Crime Drama Romance Thriller	Jim Broadbent	The Crying Game 	Stephen Rea	androgynous full frontal male nudity irish republican army psychological drama tragic love	tt0104036	1992
Miranda July	Brad William Henke	Comedy Drama	Najarra Townsend	Me and You and Everyone We Know 	Miranda July	fellatio seven word title shoe salesman title directed by female written by director	tt0415978	2005
Mark Griffiths	Gina Holden	Comedy Romance	Eric Mabius	How to Fall in Love 	Brooke D'Orsay		tt2395247	2012
Andrew Erwin	Sarah Drew	Comedy	Alex Kendrick	Moms' Night Out 	Patricia Heaton	blogger pastor reference to the shawshank redemption taser tasered	tt3014666	2014
Collin Joseph Neal	Thomas Brophy	Horror Thriller	Julianne Gabert	Run	 Hide	 Die 	Ronee Collins		tt2442662	2012
Hark Tsui	Lela Rochon	Action Comedy Thriller	Paul Sorvino	Knock Off 	Ray Nicholas	cia hong kong market undercover van	tt0120724	1998
Jon Favreau	Bill Murray	Adventure Drama Family Fantasy	Scarlett Johansson	The Jungle Book 	Garry Shandling	fire jungle remake tiger wolf	tt3040964	2016
Bob Clark	Susan Clark	Comedy	Art Hindle	Porky's 	Tony Ganios	female full frontal nudity revenge school sheriff virginity	tt0084522	1981
Michael McGowan	Adam Butcher	Comedy Drama Sport	Campbell Scott	Saint Ralph 	Gordon Pinsent	boston marathon coma marathon miracles running	tt0384488	2004
Zack Ward	Anna Harr	Horror	Zack Ward	Restoration 	James Cullen Bressack		tt4517738	2016
Randall Miller	Freddy Rodríguez	Comedy Drama	Alan Rickman	Bottle Shock 	Greg Collins	airport california flat tire overalls wine	tt0914797	2008
Yimou Zhang	Ni Yan	Comedy Drama	Honglei Sun	A Woman	 a Gun and a Noodle Shop 	Dahong Ni	betrayal husband wife relationship murder noodles salary	tt1428556	2009
Jason Friedberg	Diedrich Bader	Comedy	Carmen Electra	Meet the Spartans 	Method Man	king persian spartan training xerxes	tt1073498	2008
Alan Jacobs	Laz Alonso	Drama	Snoop Dogg	Down for Life 	Nicholas Gonzalez	latina south central los angeles	tt1056477	2009
Shane Meadows	Paddy Considine	Comedy Drama	Bob Hoskins	A Room for Romeo Brass 	Shane Meadows	betrayal family relationships friendship psychosis stranger	tt0202559	1999
Hayao Miyazaki	Jada Pinkett Smith	Adventure Animation Fantasy	Minnie Driver	Princess Mononoke 	Billy Crudup	anime cult film forest princess studio ghibli	tt0119698	1997
	Royce Johnson	Action Adventure Crime Drama Sci-Fi Thriller	Elden Henson	Daredevil             	Charlie Cox	corruption lawyer partnership superhero vigilante	tt3322312	
Stéphane Aubier	Megan Mullally	Animation Comedy Crime Drama Family	Mackenzie Foy	Ernest & Celestine 	Lambert Wilson	bear dentist friendship mouse prejudice	tt1816518	2012
Jeremy Brock	Julie Walters	Comedy Drama	Rupert Grint	Driving Lessons 	Tamsin Egerton	actress coming of age retired actress teenage boy vomiting	tt0446687	2006
Bennett Miller	Michael J. Burg	Biography Crime Drama	Philip Seymour Hoffman	Capote 	Kwesi Ameyaw	book holcomb kansas kansas killer truman capote	tt0379725	2005
Theodore Witcher	Nia Long	Drama Romance	Leonard Roberts	Love Jones 	Larenz Tate	african american cult film ex boyfriend middle class sex	tt0119572	1997
Tuck Tucker	Vincent Schiavelli	Adventure Animation Comedy Family	Jennifer Jason Leigh	Hey Arnold! The Movie 	Paul Sorvino	castle thunder document neighborhood punctuation in title villain arrested	tt0314166	2002
Darren Aronofsky	Clint Mansell	Drama Mystery Thriller	Mark Margolis	Pi 	Stanley B. Herman	mathematician nature numbers pattern using a metal detector on a beach	tt0138704	1998
Judd Apatow	Randall Park	Comedy Romance	Amy Schumer	Trainwreck 	Josh Segarra	actress playing herself actress shares first name with character fired from a job male nudity written by star	tt3152624	2015
Gus Van Sant	Matt Damon	Drama	Robin Williams	Good Will Hunting 	Minnie Driver	friend genius janitor loss of wife professor	tt0119217	1997
Harry Elfont	Lauren Ambrose	Comedy Romance	Ethan Embry	Can't Hardly Wait 	Charlie Korsmo	graduation high school letter nerd party	tt0127723	1998
Lars von Trier	Kirsten Dunst	Drama Sci-Fi	Alexander Skarsgård	Melancholia 	Charlotte Rampling	art director breasts depression outdoor sex riding a horse	tt1527186	2011
Rachel Talalay	Tom Arnold	Comedy Fantasy Horror Thriller	Johnny Depp	Freddy's Dead: The Final Nightmare 	Yaphet Kotto	dark comedy dream freddy krueger nightmare serial murder	tt0101917	1991
Stuart Gordon	Kurtwood Smith	Action Crime Sci-Fi Thriller	Christopher Lambert	Fortress 	Clifton Collins Jr.	escape future population control prison prisoner	tt0106950	1992
Akiva Goldsman	William Hurt	Drama Fantasy Mystery Romance	Matt Bomer	Winter's Tale 	Kevin Corrigan	black and white photograph drawing with blood falling through ice playing piano red haired woman	tt1837709	2014
Morgan Spurlock	Amanda Kearsan	Comedy Documentary Drama	Chemeeka Walker	Super Size Me 	Amelia Giancarlo	experiment fast food food industry meal overeating	tt0390521	2004
William Malone	Peter Gallagher	Horror Mystery Thriller	Jeffrey Combs	House on Haunted Hill 	Bridgette Wilson-Sampras	billionaire corpse eccentric haunted hospital haunted house	tt0185371	1999
Eric Bross	Esai Morales	Crime Drama Thriller	Teri Polo	We Have Your Husband 	Nicholas Gonzalez	abduction based on true story mexico	tt2063015	2011
Seth MacFarlane	Seth MacFarlane	Comedy Fantasy	Mila Kunis	Ted 	Tom Skerritt	2010s car accident sex scene teddy bear testicle	tt1637725	2012
William Kaufman	Mike 'The Miz' Mizanin	Action Thriller	Paul McGillion	The Marine 4: Moving Target 	David Lewis	killed in police car mercenary police officer shot in the leg police officer shot through the heart whistleblower	tt3528666	2015
Steve Miner	Adrienne King	Horror Mystery Thriller	Betsy Palmer	Friday the 13th Part 2 	Amy Steel	ice pick jason voorhees lake pitchfork shack	tt0082418	1981
Tony Kaye	Pat Buchanan	Documentary	Noam Chomsky	Lake of Fire 	Bill Baird	abortion southern accent title based on the bible trial usa	tt0841119	2006
Marc Webb	Chloë Grace Moretz	Comedy Drama Romance	Joseph Gordon-Levitt	500 Days of Summer 	Zooey Deschanel	friend greeting card office summer true love	tt1022603	2009
Tom Ford	Teddy Sears	Drama Romance	Colin Firth	A Single Man 	Keri Lynn Pratt	car accident male full back nudity practicing a suicide public nudity suicide contemplation	tt1315981	2009
