director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	imdbID	title_year
Huck Botko	Krysta Rodriguez	Comedy	Matt Bennett	The Virginity Hit 	Zack Pearlman	masturbation porn star sex lesson from a prostitute spreadeagle topless	tt1695994	2010
Darren Aronofsky	Emma Watson	Action Adventure Drama	Anthony Hopkins	Noah 	Logan Lerman	ark flood noah's ark water wrath of god	tt1959490	2014
Timothy Hines	Kelly LeBrock	Drama	Christopher Lambert	10 Days in a Madhouse 	Alexandra Callas		tt3453052	2015
Woody Allen	Charlotte Rae	Comedy	Woody Allen	Bananas 	Louise Lasser	fictitious country latin america president rebellion reference to fidel castro	tt0066808	1971
David Gordon Green	Connor Paolo	Drama Romance	Michael Angarano	Snow Angels 	Tom Noonan	flashback football game school small town snow	tt0453548	2007
Mira Nair	Sarita Choudhury	Crime Drama History Romance	Indira Varma	Kama Sutra: A Tale of Love 	Rekha	courtesan friend kama sutra seduction wedding	tt0116743	1996
Stephen Hopkins	Tony Curran	Biography Drama Sport	William Hurt	Race 	David Kross	1930s athlete nazi germany olympics track and field	tt3499096	2016
Kirk Wong	Elliott Gould	Action Comedy Crime Thriller	Bokeem Woodbine	The Big Hit 	Antonio Sabato Jr.	hitman kidnapping kosher vhs video store	tt0120609	1998
Kenneth Branagh	Natalie Portman	Action Adventure Fantasy	Chris Hemsworth	Thor 	Anthony Hopkins	battle marvel cinematic universe scientist thor throne	tt0800369	2011
Alister Grierson	Rhys Wakefield	Adventure Drama Thriller	Ioan Gruffudd	Sanctum 	Richard Roxburgh	cave expedition panic rebreather underwater	tt0881320	2011
Miguel Sapochnik	RZA	Action Crime Sci-Fi Thriller	Alice Braga	Repo Men 	Yvette Nicole Brown	artificial organ best friend enforcer future near future	tt1053424	2010
Gurinder Chadha	Mark Addy	Comedy Drama Horror Romance	Sendhil Ramamurthy	It's a Wonderful Afterlife 	Shabana Azmi	afterlife indian murder overweight woman police	tt1319716	2010
Terence Young	Daniela Bianchi	Action Adventure Thriller	Robert Shaw	From Russia with Love 	Lois Maxwell	assassin british agent british secret service decoder russian	tt0057076	1963
Phillip Noyce	Tzi Ma	Drama Mystery Romance Thriller War	Brendan Fraser	The Quiet American 	Holmes Osborne	american french saigon vietnam vietnamese	tt0258068	2002
Martin Scorsese	Cathy Moriarty	Biography Drama Sport	Robert De Niro	Raging Bull 	Frank Vincent	boxing domestic violence hot temper jealousy rage	tt0081398	1980
Jonathan Kesselman	Adam Goldberg	Comedy	Judy Greer	The Hebrew Hammer 	Tony Cox	blaxploitation hanukkah jewish kwanzaa santa claus	tt0317640	2003
Kinka Usher	Wes Studi	Action Comedy Fantasy Sci-Fi	Janeane Garofalo	Mystery Men 	Eddie Izzard	bowling rajah sphinx spleen superhero	tt0132347	1999
Stewart Raffill	Alexis Biesiada	Musical	Kayla Jackson	Standing Ovation 	Kayla Raparelli	dance dream frog philadelphia pennsylvania snake	tt1303803	2010
Henry Alex Rubin	Joe Bishop	Documentary Sport	Mark Zupan	Murderball 	Andy Cohn	paralympics quad rugby rugby team wheelchair	tt0436613	2005
Sam Raimi	James Franco	Action Adventure Fantasy Romance	J.K. Simmons	Spider-Man 	Kirsten Dunst	evil goblin spider spider man superhero	tt0145487	2002
Spike Lee	Cedric the Entertainer	Comedy Documentary	Bernie Mac	The Original Kings of Comedy 	Steve Harvey	backstage comedian concert film emcee stand up comedian	tt0236388	2000
	T.J. Thyne	Comedy Crime Drama Mystery Romance	Michaela Conlin	Bones             	Tamara Taylor	anthropologist fbi fbi agent forensics investigation	tt0460627	
Pierre Morel	Mark Rylance	Action Crime Drama Mystery Thriller	Ray Winstone	The Gunman 	Jasmine Trinca	assassination blood vomiting death hit squad mercenary	tt2515034	2015
Wolfgang Petersen	Morgan Freeman	Action Drama Thriller	Kevin Spacey	Outbreak 	Rene Russo	disease epidemic monkey quarantine virus	tt0114069	1995
John Frankenheimer	Paul Scofield	Thriller War	Jeanne Moreau	The Train 	Michel Simon	art french german painting train	tt0059825	1964
Alan Cohn	Linda Cardellini	Comedy	Alyson Hannigan	Dead Man on Campus 	Poppy Montgomery	college college roommate party roommate student	tt0118301	1998
Steven Soderbergh	Enrico Colantoni	Comedy Romance	Julia Roberts	Full Frontal 	Blair Underwood	birthday friend hollywood party sex	tt0290212	2002
Jessy Terrero	Snoop Dogg	Comedy	Mo'Nique	Soul Plane 	Tom Arnold	airline airplane bathroom sex toilet	tt0367085	2004
Jason Reitman	Jennifer Garner	Comedy Drama Romance	J.K. Simmons	Juno 	Rainn Wilson	adoption baby friend pregnancy school	tt0467406	2007
Anand Tucker	Bridgette Wilson-Sampras	Drama Romance	Frances Conroy	Shopgirl 	Clyde Kusatsu	artist depression gloves photography slacker	tt0338427	2005
David Caffrey	Scott Adsit	Adventure Comedy Drama	Marley Shelton	Grand Theft Parsons 	Jim Cody Williams	guitar hearse manager musician singer	tt0338075	2003
Frank Oz	Wilford Brimley	Comedy	Tom Selleck	In & Out 	Lauren Ambrose	academy award gay high school reporter teacher	tt0119360	1997
John Schultz	Carter Jenkins	Adventure Comedy Family Fantasy Sci-Fi	Malese Jow	Aliens in the Attic 	Tim Meadows	alien attic boyfriend mind control nintendo ds	tt0775552	2009
Stephen Gaghan	Zooey Deschanel	Drama Music Mystery Romance Thriller	Charlie Hunnam	Abandon 	Tony Goldwyn	college detective disappearance police detective thesis	tt0267248	2002
Karim Aïnouz	Clemens Schick	Drama	Wagner Moura	Futuro Beach 	Jesuíta Barbosa	gay male frontal nudity male nudity male rear nudity nudity	tt2199543	2014
Michael Apted	Shane Rangi	Adventure Family Fantasy	Bruce Spence	The Chronicles of Narnia: The Voyage of the Dawn Treader 	Laura Brent	dragon king mouse quest warrior	tt0980970	2010
John Erick Dowdle	Bokeem Woodbine	Horror Mystery Thriller	Bojana Novakovic	Devil 	Geoffrey Arend	devil elevator hit and run throat slitting trapped in an elevator	tt1314655	2010
Chan-wook Park	Alden Ehrenreich	Drama Thriller	Mia Wasikowska	Stoker 	Harmony Korine	death hitchcockian psychopath sociopath vomiting	tt1682180	2013
Jonathan Levine	Vincent Leclerc	Comedy Horror Romance	Cory Hardrict	Warm Bodies 	Daniel Rindress-Kay	fight memory teenager undead zombie	tt1588173	2013
Luke Greenfield	Timothy Bottoms	Comedy Drama Romance	Chris Marquette	The Girl Next Door 	Jacob Young	forced to strip male rear nudity porn actress scantily clad female teenager	tt0265208	2004
James Gartner	Austin Nichols	Biography Drama Sport	Mehcad Brooks	Glory Road 	Derek Luke	coach college basketball national championship ncaa texas	tt0385726	2006
James Melkonian	William Hickey	Comedy Crime	Vincent Pastore	The Jerky Boys 	Peter Appel	critically bashed mafia police telephone unemployment	tt0110189	1995
Sofia Coppola	Chris Pontius	Comedy Drama	Nathalie Fay	Somewhere 	Erin Wasson	actor boredom luxury hotel party trip	tt1421051	2010
Brandon Trost	Sean Whalen	Comedy	Clifton Collins Jr.	The FP 	James DeBello	abbreviation in title based on short film competition dancing dystopia location in title	tt1296373	2011
Christopher McQuarrie	Robert Duvall	Action Crime Mystery Thriller	Tom Cruise	Jack Reacher 	David Oyelowo	coma mysterious villain police chase shooting range sniper	tt0790724	2012
Sydney Pollack	Holly Hunter	Drama Mystery Thriller	Tom Cruise	The Firm 	Wilford Brimley	bar fbi law law firm lawyer	tt0106918	1993
John Woo	Dougray Scott	Action Adventure Thriller	Tom Cruise	Mission: Impossible II 	Richard Roxburgh	cure mission terrorist thief virus	tt0120755	2000
Danny Boyle	Megan Burns	Drama Horror Sci-Fi Thriller	Noah Huntley	28 Days Later... 	David Schneider	laboratory london england military virus zombie apocalypse	tt0289043	2002
Troy Nixey	Alan Dale	Fantasy Horror Thriller	Bailee Madison	Don't Be Afraid of the Dark 	Jack Thompson	basement creature disappearance interior designer mansion	tt1270761	2010
Michael Apted	Abigail Spencer	Biography Drama Sport	Gerard Butler	Chasing Mavericks 	Leven Rambin	box office flop no opening credits surfing two word title year 1987	tt1629757	2012
Shintaro Shimosawa	Anthony Hopkins	Drama Thriller	Al Pacino	Misconduct 	Glen Powell	black panties lust sexual attraction voyeur voyeurism	tt3658772	2016
Alan J. Pakula	Brad Pitt	Action Crime Drama Thriller	Harrison Ford	The Devil's Own 	Natascha McElhone	friendship murder northern ireland police officer terrorist	tt0118972	1997
Brad Silberling	Anna Friel	Adventure Comedy Sci-Fi	Will Ferrell	Land of the Lost 	Bobb'e J. Thompson	human versus dinosaur lizard primate time travel tyrannosaurus rex	tt0457400	2009
Baz Luhrmann	Elizabeth Debicki	Drama Romance	Leonardo DiCaprio	The Great Gatsby 	Steve Bisley	ingratitude mansion party title appears in writing tragedy	tt1343092	2013
James Ivory	Peter Vaughan	Drama Romance	Anthony Hopkins	The Remains of the Day 	Ben Chaplin	butler housekeeper manor servant service	tt0107943	1993
Roger Spottiswoode	Michael Rapaport	Action Mystery Sci-Fi Thriller	Robert Duvall	The 6th Day 	Tony Goldwyn	clone cloning future laser gun murder	tt0216216	2000
Jim Fall	Adam Lamberg	Adventure Comedy Family Music Romance	Clayton Snyder	The Lizzie McGuire Movie 	Alex Borstein	best friend roma singer spaghetti teenager	tt0306841	2003
Rita Merson	James Wolk	Comedy Music Romance	Ryan Guzman	Always Woodstock 	Jason Ritter	claim in title contraction in title new york new york city woodstock	tt1995477	2014
Jay Russell	Frankie Muniz	Drama Family Sport	Clint Howard	My Dog Skip 	Cody Linley	1940s dog mississippi puppy veteran	tt0156812	2000
Richard Brooks	Robert Blake	Biography Crime Drama History	John Forsythe	In Cold Blood 	Will Geer	homoeroticism kansas murder police robbery	tt0061809	1967
Nimród Antal	Alice Braga	Action Adventure Sci-Fi Thriller	Topher Grace	Predators 	Derek Mears	kicked in the face martial arts punched in the face strong female character woman punching a man	tt1424381	2010
Joe Dante	Teri Polo	Adventure Fantasy Thriller	Bruce Dern	The Hole 	Haley Bennett	basement family relationships hole no opening credits slow motion scene	tt1085779	2009
Peter Landesman	Eddie Marsan	Biography Drama Sport	Will Smith	Concussion 	Albert Brooks	chronic traumatic encephalopathy concussion football football player pathologist	tt3322364	2015
Fred Savage	Brian Doyle-Murray	Comedy Family	Lochlyn Munro	Daddy Day Camp 	Tamala Jones	competition estranged father skunk summer camp wall	tt0462244	2007
Jon Avnet	Alicia Witt	Crime Drama Mystery Thriller	Al Pacino	88 Minutes 	Deborah Kara Unger	death fbi forensics murder serial killer	tt0411061	2007
Gabe Ibáñez	Robert Forster	Action Sci-Fi Thriller	Birgitte Hjort Sørensen	Automata 	Melanie Griffith	child hitman dystopia future robot self repair	tt1971325	2014
Craig Mazin	Tracy Morgan	Action Comedy Sci-Fi Thriller	Drake Bell	Superhero Movie 	Marion Ross	dragonfly hero high school soaking wet supervillian origin	tt0426592	2008
Fred Wolf	Katharine McPhee	Comedy Romance	Emma Stone	The House Bunny 	Beverly D'Angelo	makeover party playboy playboy mansion sorority	tt0852713	2008
Brian Helgeland	Deborah Kara Unger	Action Crime Drama Thriller	Bill Duke	Payback 	William Devane	anti hero criminal greed prostitute tough guy	tt0120784	1999
Don Siegel	Patrick McGoohan	Biography Crime Drama	Clint Eastwood	Escape from Alcatraz 	Fred Ward	alcatraz escape inmate island prison	tt0079116	1979
Daniel Schechter	Kevin Corrigan	Comedy	Lena Dunham	Supporting Characters 	Alex Karpovsky	film editor kiss marriage proposal movie screening urination	tt1874789	2012
Robert Rodriguez	Salma Hayek	Action Crime Thriller	Johnny Depp	Once Upon a Time in Mexico 	Enrique Iglesias	agent cia mariachi mexican president	tt0285823	2003
Gregory Hoblit	Andre Braugher	Crime Drama Mystery Sci-Fi Thriller	Dennis Quaid	Frequency 	Noah Emmerich	altering history alternate history amateur radio ham radio paranormal phenomena	tt0186151	2000
Mateo Gil	Dominique McElligott	Action Adventure Western	Sam Shepard	Blackthorn 	Stephen Rea	assumed identity bolivia butch cassidy doctor thief	tt1629705	2011
Paul W.S. Anderson	Jaymes Butler	Action Horror Sci-Fi	Milla Jovovich	Resident Evil 	Colin Salmon	amnesia quarantine special forces virus zombie	tt0120804	2002
	Jonathan Crombie	Drama Family	Zack Ward	Anne of Green Gables             	Megan Follows	girl heroine kindred spirit orphan rural setting	tt0088727	
Jonathan Demme	Tom Hanks	Drama	Denzel Washington	Philadelphia 	Jason Robards	aids city name in title gay homophobia lawyer	tt0107818	1993
Janusz Kaminski	Bob Clendenin	Drama Horror Thriller	Philip Baker Hall	Lost Souls 	Ben Chaplin	faith mental patient priest scheme teacher	tt0160484	2000
Ken Kwapis	Tim Blake Nelson	Biography Drama Romance	Ted Danson	Big Miracle 	Andrew Daly	arctic circle reporter small town volunteer whale	tt1430615	2012
Kimberly Peirce	Judy Greer	Drama Fantasy Horror	Chloë Grace Moretz	Carrie 	Portia Doubleday	outcast prom self injury telekinesis tragic event	tt1939659	2013
Robert Marcarelli	William Hootkins	Action Adventure Fantasy Sci-Fi Thriller	George Coe	The Omega Code 	Ayla Kell	code evil false accusation megalomaniac torah	tt0203408	1999
Jamaa Fanaka	Chuck Mitchell	Crime Drama Sport	Leon Isaac Kennedy	Penitentiary 	Wilbur 'Hi-Fi' White	blaxploitation boxing convict drifter false accusation	tt0079709	1979
Paul McGuigan	Spencer Wilding	Drama Horror Sci-Fi Thriller	Daniel Radcliffe	Victor Frankenstein 	Daniel Mays	assistant experiment frankenstein medical student scientist	tt1976009	2015
Alejandro Amenábar	Elaine Cassidy	Fantasy Horror Thriller	Fionnula Flanagan	The Others 	Eric Sykes	curtain haunting mansion mute xeroderma pigmentosum	tt0230600	2001
George P. Cosmatos	Julia Nickson	Action Adventure Thriller War	Sylvester Stallone	Rambo: First Blood Part II 	Martin Kove	1980s mission prison rambo vietnam	tt0089880	1985
Andrea Di Stefano	Brady Corbet	Crime Drama Romance Thriller	Josh Hutcherson	Escobar: Paradise Lost 	Carlos Bardem	colombia dream love surfer village	tt2515030	2014
Cedric Nicolas-Troyan	Sam Claflin	Action Adventure Drama Fantasy	Chris Hemsworth	The Huntsman: Winter's War 	Charlize Theron	based on fairy tale dark fantasy fairy tale second part sequel	tt2381991	2016
Stephen Sommers	Brendan Fraser	Action Adventure Fantasy Thriller	Dwayne Johnson	The Mummy Returns 	Patricia Velasquez	ancient egypt bracelet king scorpion son	tt0209163	2001
Spike Lee	Omari Hardwick	Action Crime Drama Thriller War	Joseph Gordon-Levitt	Miracle at St. Anna 	Laz Alonso	boy german soldier partisan trapped village	tt1046997	2008
Steven Spielberg	Julian Glover	Action Adventure Fantasy	Harrison Ford	Indiana Jones and the Last Crusade 	Alison Doody	castle diary holy grail map nazi	tt0097576	1989
George A. Romero	Shawn Roberts	Horror	Tony Nappo	Land of the Dead 	Pedro Miguel Arce	apocalypse mercenary skyscraper urban setting zombie apocalypse	tt0418819	2005
Michael McGowan	Adam Butcher	Comedy Drama Sport	Campbell Scott	Saint Ralph 	Gordon Pinsent	boston marathon coma marathon miracles running	tt0384488	2004
Lena Dunham	Merritt Wever	Comedy Drama Romance	Lena Dunham	Tiny Furniture 	Jemima Kirke	adult returns home girl with glasses hipster shower title directed by female	tt1570989	2010
M. Night Shyamalan	Alan Ruck	Sci-Fi Thriller	Zooey Deschanel	The Happening 	Kristen Connolly	bee nature park school teacher	tt0949731	2008
Louis C.K.	J.B. Smoove	Action Adventure Comedy Musical	Wanda Sykes	Pootie Tang 	Robert Vaughn	based on sketch comedy corporation cult film evil corporation sex	tt0258038	2001
Isabel Coixet	Julian Richings	Drama Romance	Sarah Polley	My Life Without Me 	Amanda Plummer	cancer death doctor drinking love	tt0314412	2003
M. Night Shyamalan	Bruce Willis	Drama Mystery Sci-Fi Thriller	Robin Wright	Unbreakable 	Michael Kelly	child with gun comic book invulnerability superhero train crash	tt0217869	2000
Nicholas Meyer	Kurtwood Smith	Action Adventure Sci-Fi Thriller	Leonard Nimoy	Star Trek VI: The Undiscovered Country 	Nichelle Nichols	captain explosion klingon moon peace	tt0102975	1991
Stefen Fangmeier	Ed Speleers	Action Adventure Family Fantasy	Djimon Hounsou	Eragon 	Gary Lewis	dragon dragon rider fictional war sword and fantasy teenage hero	tt0449010	2006
Sidney Lumet	James Mason	Drama	Charlotte Rampling	The Verdict 	Jack Warden	archdiocese court hospital lawyer malpractice	tt0084855	1982
Tom Shadyac	Morgan Freeman	Comedy Family Fantasy	Jimmy Bennett	Evan Almighty 	Steve Carell	ark change congressman depiction of god flood	tt0413099	2007
Leslie Small	La'Princess Jackson	Comedy Documentary	David Jason Perez	Kevin Hart: Let Me Explain 	Dana Hanna	lying montreal reference to twitter reference to youtube toronto	tt2609912	2013
Florian Henckel von Donnersmarck	Angelina Jolie Pitt	Action Romance Thriller	Johnny Depp	The Tourist 	Rufus Sewell	police surveillance surveillance van tailing a suspect tourist venice italy	tt1243957	2010
David Soren	Snoop Dogg	Adventure Animation Comedy Family Sport	Ryan Reynolds	Turbo 	Ben Schwartz	accident freak accident race snail underdog	tt1860353	2013
Fatih Akin	Moritz Bleibtreu	Comedy Drama	Udo Kier	Soul Kitchen 	Birol Ünel	2000s burglar chef cook restaurant	tt1244668	2009
Jonas Åkerlund	Saffron Burrows	Comedy Crime Drama	Noel Gugliemi	Small Apartments 	Matt Lucas	fire investigator landlord suicide talking to one's self in a mirror turpentine	tt1272886	2012
	John Sparkes	Animation Comedy Family	Justin Fletcher	Shaun the Sheep             	Kate Harbour	farmer mischief no dialog sheep sheepdog	tt0983983	
Robert Adetuyi	Mishael Morgan	Drama Music	Shane Pollard	You Got Served: Beat the World 	Chase Armitage		tt1568139	2011
Alex Kendrick	Ken Bevel	Drama Romance	Kirk Cameron	Fireproof 	Erin Bethea	christian film dare firefighter internet pornography marriage	tt1129423	2008
Atom Egoyan	Sarah Polley	Drama	Bruce Greenwood	The Sweet Hereafter 	Simon Baker	anger bus child lawyer school	tt0120255	1997
Jesse Dylan	Fred Willard	Comedy Fantasy	Hector Elizondo	How High 	T.J. Thyne	college drugs harvard pot smoke	tt0278488	2001
Philip Kaufman	Stephen Marcus	Biography Drama	Kate Winslet	Quills 	Amelia Warner	asylum lust male pubic hair penis pubic hair	tt0180073	2000
Olivier Assayas	Miranda Richardson	Comedy Drama Romance	Steve Buscemi	Paris	 je t'aime 	Catalina Sandino Moreno	baby divorce oscar wilde pigalle tourist	tt0401711	2006
Richard Linklater	Ariane Labed	Drama Romance	Seamus Davey-Fitzpatrick	Before Midnight 	Athina Rachel Tsangari	friend greece greek hotel room twin	tt2209418	2013
Andrzej Bartkowiak	Ben Daniels	Action Adventure Horror Sci-Fi	Dwayne Johnson	Doom 	Dexter Fletcher	commando unit extra chromosome first person shooter special forces teleportation	tt0419706	2005
Daniel Barber	Jack O'Connell	Action Crime Drama Thriller	Joseph Gilgun	Harry Brown 	Sean Harris	bayonet death police self defense widower	tt1289406	2009
John Whitesell	Angus T. Jones	Action Comedy Crime Family	Leslie Bibb	See Spot Run 	Paul Sorvino	boy fbi mailman van witness protection	tt0250720	2001
Josh Trank	Alex Russell	Drama Sci-Fi Thriller	Michael Kelly	Chronicle 	Ashley Hinshaw	found footage high school subjective camera teen angst troubled teen	tt1706593	2012
Jason Reitman	Kate Winslet	Drama	J.K. Simmons	Labor Day 	Brooke Smith	baseball baseball practice escaped convict neighbor tied to a chair	tt1967545	2013
Mike Bigelow	Eddie Griffin	Comedy	Carlos Ponce	Deuce Bigalow: European Gigolo 	Charles Keating	dolphin gigolo pimp serial killer villain arrested	tt0367652	2005
Tom Elkins	Cicely Tyson	Drama Horror Mystery Thriller	Abigail Spencer	The Haunting in Connecticut 2: Ghosts of Georgia 	Brad James	daughter georgia mother slave trailer	tt1457765	2013
Mark Young	Jake Busey	Action Crime Drama Thriller	Alexa PenaVega	Wicked Blood 	Lew Temple	chess drugs love meth pawn	tt2761578	2014
Roger Christian	Michael Byrne	Action Adventure Sci-Fi	Richard Tyson	Battlefield Earth 	John Topor	alien bad acting pulp fiction resistance fighter voyager golden record	tt0185183	2000
Howard Deutch	Taran Killam	Comedy Romance	Dane Cook	My Best Friend's Girl 	Riki Lindhome	breasts female rear nudity jesus crust pizza parlor thong panties wedding	tt1046163	2008
Carlos Saldanha	Ray Romano	Action Adventure Animation Comedy Family Fantasy	Denis Leary	Ice Age: The Meltdown 	Jay Leno	flood mammoth no opening credits squirrel valley	tt0438097	2006
Teddy Chan	Charlie Yeung	Action Drama	Siu-Wong Fan	Kung Fu Killer 	Wai-Keung Lau	fight kung fu martial arts police wire fu	tt2952602	2014
Michael Landon Jr.	Louise Fletcher	Drama	Henry Thomas	The Last Sin Eater 	A.J. Buckley	1850s christian film dark secret funeral sin eater	tt0810928	2007
Phil Lord	Bobb'e J. Thompson	Animation Comedy Family Sci-Fi	Will Forte	Cloudy with a Chance of Meatballs 	Al Roker	food giant food mayor sardine weather	tt0844471	2009
Atom Egoyan	Elaine Cassidy	Drama Thriller	Bob Hoskins	Felicia's Journey 	Gerard McSorley	caterer catering chef friend lawn mower	tt0165773	1999
James Cameron	Brian Thompson	Action Sci-Fi	Michael Biehn	The Terminator 	Paul Winfield	cyborg future war robot shootout in a police station urban setting	tt0088247	1984
Ben Wheatley	Tony Way	Comedy Crime Drama	Michael Smiley	Down Terrace 	David Schaal	black comedy	tt1489167	2009
Lionel C. Martin	Gilbert Gottfried	Comedy	Bernie Mac	How to Be a Player 	Lark Voorhies	breaking the fourth wall doorman friend party sex	tt0119326	1997
	Tracy Spiridakos	Action Adventure Drama Sci-Fi	Billy Burke	Revolution             	David Lyons	2020s near future one word series title post apocalypse year 2027	tt2070791	
Harold Ramis	Cathy Moriarty	Comedy Crime	Robert De Niro	Analyze That 	Joe Viterelli	blonde mafia mental illness prison second part	tt0289848	2002
Johanna Schwartz	Garba Touré	Documentary	Aliou Touré	They Will Have to Kill Us First 	Khaira Arby		tt4333662	2015
Scott Dow	Wray Crawford	Comedy Horror	Trenton Rostedt	The Walking Deceased 	Dave Sheridan	zombie zombie spoof	tt3499458	2015
Mark Rydell	Frederic Forrest	Drama Music Romance	David Keith	The Rose 	Alan Bates	awol demand driver drugs roses	tt0079826	1979
Louis Leterrier	Jason Flemyng	Action Crime Thriller	Jason Statham	Transporter 2 	Matthew Modine	driver french kidnapping police sequel	tt0388482	2005
David Fincher	Brad Pitt	Crime Drama Mystery Thriller	Morgan Freeman	Se7en 	Reg E. Cathey	detective police partner serial killer serial murder seven deadly sins	tt0114369	1995
Phil Alden Robinson	Bruce McGill	Action Drama Thriller	Morgan Freeman	The Sum of All Fears 	Philip Baker Hall	analyst cia nuclear bomb nuclear weapons russia	tt0164184	2002
Richard Benjamin	Alyson Hannigan	Comedy Romance Sci-Fi	Jon Lovitz	My Stepmother Is an Alien 	Tony Jay	alien earth female alien mission secret	tt0095687	1988
Tim Heidecker	William Atherton	Comedy	Michael Gross	Tim and Eric's Billion Dollar Movie 	Bob Ross	film in film man with glasses reference to steven spielberg self referential shopping mall	tt1855401	2012
Jane Clark	Traci Dinwiddie	Romance Short	Necar Zadegan	The Touch 	Elea Oberon	lesbian paris france period piece poem poetess	tt1128219	2007
George A. Romero	Shawn Roberts	Horror	Megan Park	Diary of the Dead 	Joe Dinicol	barn film student hospital mummy video camera	tt0848557	2007
Shana Feste	Cinda McCain	Drama Music	Leighton Meester	Country Strong 	Tim McGraw	country music panties pink panties relapse songwriter	tt1555064	2010
Jeannot Szwarc	Murray Hamilton	Adventure Horror Thriller	Roy Scheider	Jaws 2 	Joseph Mascolo	great white shark island mayor police chief shark	tt0077766	1978
Matthew Vaughn	Michael Fassbender	Action Adventure Sci-Fi	Jennifer Lawrence	X-Men: First Class 	Oliver Platt	cia cia agent mutant nuclear war professor	tt1270798	2011
Kimble Rendall	Cariba Heine	Action Horror Sci-Fi	Alex Russell	Bait 	Richard Brancatisano	great white shark shark supermarket swimming tsunami	tt1438173	2012
Ivan Reitman	Cathy Moriarty	Action Comedy Crime	Richard Tyson	Kindergarten Cop 	Penelope Ann Miller	astoria kindergarten kindergarten teacher school teacher	tt0099938	1990
Jonathan Mostow	M.C. Gainey	Action Sci-Fi	Nick Stahl	Terminator 3: Rise of the Machines 	Carolyn Hennesy	drifter exploding truck future machine skynet	tt0181852	2003
Benjamin Dickinson	Alexia Rasmussen	Drama Sci-Fi	Nora Zehetner	Creative Control 	Meredith Hagner	art exhibition augmented reality cocaine nervous breakdown speculative fiction	tt3277624	2015
Eric Darnell	Cedric the Entertainer	Adventure Animation Comedy Family	Jada Pinkett Smith	Madagascar 	Andy Richter	escape jungle lemur madagascar zoo	tt0351283	2005
Luis Mandoki	John Savage	Drama Romance	Robin Wright	Message in a Bottle 	Raphael Sbarge	beach bottle jogging letter love	tt0139462	1999
Rupert Sanders	Kristen Stewart	Action Adventure Drama Fantasy	Chris Hemsworth	Snow White and the Huntsman 	Sam Claflin	evil queen fairy tale magic queen snow white	tt1735898	2012
Theodore Witcher	Nia Long	Drama Romance	Leonard Roberts	Love Jones 	Larenz Tate	african american cult film ex boyfriend middle class sex	tt0119572	1997
